TRAP,createdBy,Timestamp,MoundID,Date,Type,AllNotes,Source,DescriptionOfMoundOrLocale,LU_Around,LU_Top,PositionInTheLandscape,Prominence,Latitude,Longitude,Northing,Easting,Accuracy,FacingDirectionForPhoto,HeightMax,DiameterMax,HeightMin,DiameterMin,OtherDimension,AssociatedFeatureOrMaterial,SurfaceMaterialDescription,SampleCollected,ChronologyEstimate,AssociatedFeatureOrMaterialPhoto,Condition,DamageNotes,PrincipalSourceOfImpact,OtherSourcesOfImpact,ArchaeologicalPotential,MostRecentDamageWhat,MostRecentDamageWithin,RTDescription,CommentsAndRecommendations,CRMPhotos,geospatialcolumn
8230,Tiana Anderson,2018-09-11 05:33:22.275 GMT,8230,2018-09-11,Uncertain Feature,865-866 (second photo from South west),Legacy verification,could be a burial mound but is most probably a modern structure such as a bunker,Annual agriculture,Scrub,Valley Bottom or Plain,High,42.1420491,26.73742022,4665581.329,478302.1911,3,Northeast,2,18,NA,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,,Construction,NA,4 - minimal,Infrastructure,Unknown,"NA",NA,NA,POINT(478302.191096 4665581.329463)
8231,Tiana Anderson,2018-09-11 06:22:29.028 GMT,8231,2018-09-11,Uncertain Feature,"867, 868,grassland",Legacy verification,black square in map but no discernible or distinct feature in the field. slight elevation that appears like a settlement mound. in Northmost extension there is a 1m depression that appears to seasonal water reservoir,Pasture,Pasture,Upper slope,Low,42.14188567,26.75594644,4665558.642,479833.0209,3,South,0.5,100,NA,NA,NA,NA,NA,No,NA,NA,0 - No observation,,No observation,NA,4 - minimal,Agriculture,Unknown,"NA","this would be pristine with plenty of archaeological potential if we were certain that it was a settlement mound, but we are unsure",NA,POINT(479833.020948 4665558.642171)
8511,Verka Dolezalkova,2018-09-11 06:47:02.026 GMT,8511,2018-09-11,Other,"geodetic marker,taken from behind a fence, therefore no scale,grassland",Legacy verification,"top of a hill, view on the village of Kraynovo",Pasture,Pasture,Hilltop,Super prominent,42.0037092,26.86484011,4650196.887,488807.0281,3,South,0,0,NA,NA,NA,NA,NA,No,NA,NA,0 - No observation,"none, geodetic point only",No observation,NA,No observation,Not available,No observation,"NA",NA,NA,POINT(488807.028114 4650196.887303)
8512,Bara Weissova,2018-09-11 07:00:15.612 GMT,8512,2018-09-11,Other,"geodetic marker,explain in notes,explain in notes (cemetery,cemetery",Legacy verification,in the cemetery,Other,Other,Hilltop,High,42.00320851,26.86467756,4650141.318,488793.4792,3,West,0,0,NA,NA,NA,NA,NA,No,NA,NA,0 - No observation,,No observation,NA,No observation,Not available,No observation,"NA",NA,NA,POINT(488793.479179 4650141.317953)
8232,Tiana Anderson,2018-09-11 07:00:34.831 GMT,8232,2018-09-11,Burial Mound,"871,grassland",Legacy verification,large field stones and a protruding limestone outcrop. concrete pole with solid foundation top and central of mound. lozenge shape,Annual agriculture,Pasture,Hilltop,Super prominent,42.13891623,26.76918252,4665225.899,480925.8732,3,Southwest,1,16,0.5,NA,NA,NA,NA,No,(ext #872),files/app/1a8d1c86-edd8-4415-a366-fef603349ffd_image-1536649597150.original.jpg,4 - seriously damaged,,Agriculture,NA,3 - impaired,Agriculture,Unknown,"NA",NA,NA,POINT(480925.873195 4665225.899297)
8513,Bara Weissova,2018-09-11 07:15:18.342 GMT,8513,2018-09-11,Burial Mound,"627-629,grassland",Legacy verification,situated in the fenced area in the farm,Pasture,Pasture,Valley Bottom or Plain,Low,42.0136993,26.85990403,4651306.736,488400.0725,3,Northeast,2.5,30,NA,25,NA,NA,NA,No,NA,NA,3 - damaged,,Urban development,NA,3 - impaired,Urban development,Unknown,"NA, not accessible",NA,NA,POINT(488400.072513 4651306.736333)
8233,Tiana Anderson,2018-09-11 07:23:02.780 GMT,8233,2018-09-11,Burial Mound,"873,grassland",Legacy verification,mound like feature by a dirt road next to a sand quarry with a ditch along South edge. large field stones on top and scattered around,Pasture,Pasture,Hilltop,High,42.14140557,26.77509437,4665500.992,481415.1404,3,North,1.3,17,NA,15,NA,NA,NA,No,NA,NA,2 - minor damage,,Agriculture,NA,3 - impaired,Agriculture,Unknown,"01,rectangle,7.0,2.5,manually excavated trench",NA,files/app/72a38731-4d51-44b3-97d9-6ba650bd60f7_image-1536651131928.original.jpg (874) - files/app/d6670fcf-b642-4a56-b3bb-89e22b26eb34_image-1536651216524.original.jpg,POINT(481415.140402 4665500.991677)
8514,Bara Weissova,2018-09-11 07:29:23.770 GMT,8514,2018-09-11,Burial Mound,"630-632,grassland",Legacy verification,in the farm,Pasture,Pasture,Valley Bottom or Plain,Low,42.0145614,26.86090701,4651402.319,488483.2752,3,East,2,25,NA,20,NA,NA,NA,No,NA,NA,1 - pristine,,No observation,NA,1 - full,Unknown,Unknown,N/A,NA,NA,POINT(488483.27518 4651402.319105)
8234,Tiana Anderson,2018-09-11 07:46:22.900 GMT,8234,2018-09-11,Burial Mound,"875-876,grassland",Legacy verification,"round mound with large trench full of berries, large stones and concrete slab present",Pasture,Pasture,Hilltop,High,42.14248424,26.77845539,4665620.032,481693.1857,3,Northeast,1,20,NA,NA,NA,NA,NA,No,NA,NA,3 - damaged,"old construction, could be a viewpoint )",Construction,NA,3 - impaired,Infrastructure,Unknown,"01,round,2.5,1.0,manually excavated overgrown with berries",NA,NA,POINT(481693.185707 4665620.031956)
8515,Bara Weissova,2018-09-11 07:46:53.331 GMT,8515,2018-09-11,Other,"633-635,637",Legacy verification,huge rectangular bunker from the cold war,Scrub,Scrub,Hilltop,Super prominent,42.02637104,26.86783668,4652712.625,489059.0677,3,Northwest,0,0,NA,NA,NA,NA,NA,No,NA,NA,0 - No observation,"specify in Annotation),specify in Annotation)",Other,military activity,5 - none or nearly none,Other,Other,N/A,Damaged by military activities,NA,POINT(489059.067677 4652712.625293)
8235,Tiana Anderson,2018-09-11 07:59:21.544 GMT,8235,2018-09-11,Burial Mound,"879,grassland",Legacy verification,large field stones on South edge and pole market on top,Annual agriculture,Pasture,Hilltop,High,42.14303656,26.77941104,4665681.153,481772.3122,3,Northeast,1.2,20,NA,15,NA,NA,NA,No,NA,NA,3 - damaged,,Agriculture,NA,2 - good,Agriculture,Unknown,"NA",NA,NA,POINT(481772.312169 4665681.152764)
8516,Bara Weissova,2018-09-11 08:21:36.699 GMT,8516,2018-09-11,Burial Mound,638-639,Legacy verification,"vegetation: trees, overgrowth - difficult to measure; surface covered with stones",Forest,Scrub,Upper slope,Low,42.03808299,26.88336389,4654011.13,490346.2358,3,Northwest,1.5,NA,1,15,NA,Other,loose stones maybe from the rt,No,NA,NA,3 - damaged,,Looting,bioturbation,3 - impaired,Unknown,Unknown,2 x 1 x 0.4,NA,files/app/f3af791f-6dee-42e9-a652-0ae7d47ee375_image-1536654423201.original.jpg,POINT(490346.235847 4654011.129748)
8236,Tiana Anderson,2018-09-11 08:27:45.939 GMT,8236,2018-09-11,Other,883-885,Legacy verification,"highly uncertain whether it is a mound, with deep trench and large slab of concrete.",Annual agriculture,Annual agriculture,Upper slope,Low,42.14464413,26.78605866,4665858.246,482322.0648,3,North,0.4,8,0.2,NA,NA,Artefact scatter,NA,No,half a dozen non-diagnostic shards. possibly iron-age,files/app/9aed3e17-e72e-483e-8250-1286a5d097d5_image-1536654528451.original.jpg,4 - seriously damaged,,Agriculture,NA,4 - minimal,Agriculture,Unknown,"NA",NA,NA,POINT(482322.064844 4665858.246176)
8517,Bara Weissova,2018-09-11 08:52:12.733 GMT,8517,2018-09-11,Other,642,Legacy verification,top of the local hill,Forest,Forest,Hilltop,Medium,42.04328312,26.87164731,4654589.886,489377.3409,3,Southeast,0,0,NA,NA,NA,NA,NA,No,NA,NA,0 - No observation,,No observation,NA,No observation,Not available,No observation,"NA",NA,NA,POINT(489377.340934 4654589.886111)
8518,Bara Weissova,2018-09-11 09:02:58.124 GMT,8518,2018-09-11,Burial Mound,"643, 644",Legacy verification,NA,Annual agriculture,Scrub,Upper slope,Low,42.05139541,26.86829562,4655491.014,489101.3367,3,East,0.8,140,NA,15,NA,Other,loose stones on the surface,No,NA,NA,4 - seriously damaged,,Agriculture,looting - maybe,4 - minimal,Agriculture,Last month,N/A,NA,NA,POINT(489101.33673 4655491.013537)
8237,Tiana Anderson,2018-09-11 09:06:22.772 GMT,8237,2018-09-11,Other,"886-887,explain in notes",Legacy verification,"located near a black dot on the map. Prominent and mound-suitable location, but built over with a 10 m iron cross with a tiled platform around.",Pasture,Other,Upper slope,Super prominent,42.14392205,26.78636209,4665778.01,482346.937,3,Southeast,0.5,0,NA,NA,NA,Standing features in vicinity,modern construction on top,No,NA,NA,5 - extinct or near extinct,,Construction,NA,5 - none or nearly none,Infrastructure,Last year,"NA",NA,NA,POINT(482346.936961 4665778.009668)
8238,Tiana Anderson,2018-09-11 09:29:45.597 GMT,8238,2018-09-11,Burial Mound,889-891,Legacy verification,large rocks,Pasture,Annual agriculture,Upper slope,High,42.14875641,26.78455038,4666315.154,482198.5882,3,North,2,32,NA,NA,NA,Artefact scatter,looks like marble/a hard limestone,No,NA,files/app/8ad36c8a-af8d-4173-b6e5-f0a77ee6966d_image-1536658711544.original.jpg,3 - damaged,,Looting,agriculture,3 - impaired,Agriculture,Last year,"01,rectangle,10x3.0,manually excavated old/overgrown",NA,NA,POINT(482198.588199 4666315.153677)
8239,Tiana Anderson,2018-09-11 09:55:10.931 GMT,8239,2018-09-11,Other,"892-897,grassland",Legacy verification,probable water tower. square concrete structure inside possible mound. South stream irrigation system,Pasture,Pasture,Hilltop,Medium,42.15350908,26.77734567,4666844.378,481604.6785,3,Northwest,0.2,9,NA,NA,1.5x1 for water tower,Standing features in vicinity,"structure inside. stones are also associated features, one is a grinding surface stone",No,NA,files/app/23d1db23-6079-4d32-b7b0-6256caef6820_image-1536660384547.original.jpg,5 - extinct or near extinct,,Construction,agricultute,4 - minimal,Agriculture,Unknown,"NA",NA,NA,POINT(481604.67851 4666844.377902)
8240,Tiana Anderson,2018-09-11 10:41:22.124 GMT,8240,2018-09-11,Other,"903,grassland",Survey,similar water tower feature to previous record. lots of large and scattered rocks again,Annual agriculture,Pasture,Upper slope,Medium,42.15581651,26.77547827,4667100.981,481451.0713,16,East,0.4,8,NA,NA,NA,Artefact scatter,NA,No,NA,NA,4 - seriously damaged,,Construction,agriculture,4 - minimal,Agriculture,Unknown,"NA",NA,NA,POINT(481451.071295 4667100.981076)
9646,Petra Janouchova,2018-09-11 15:56:34.901 GMT,9646,2018-09-11,Surface Scatter,"external photos only, 595-600, not far from the river and the local water reservoir, good visibility of the surrounding terrain, but sheltered with the two surroundings hills, near Vodenska river, slightly elevated plateau; GPS taken back at the base to eliminate shapefile export issues; LAtLong manually entered from GPS, after the fieldwork, (42.04261, 26.889779)),grassland,not applicable, no mound",Legacy verification,known site under Golyamoto Kale,Pasture,Pasture,Valley Bottom or Plain,Nil,42.04261,26.889779,4665283.313,470034.2496,3,Southwest,0,500,NA,400,"not mound, large extent",Artefact scatter,"scatter of large stones of white stone, up to 0.7 m large (0.7 X 0.7x0.4 m), photo detail taken, waypoint002",Yes (Voden_01),late antique - medieval (photos only external),NA,1 - pristine,,No observation,no signs of looting,1 - full,Not available,Not relevant,NA,"no RTs visible, although the site was supposed to be looted; further monitoring recommended, detailed photo of large stone taken; tiles and bricks on the ground, stones of local white to grey stone, possibly remains of the ancient settlement",NA,POINT(470034.249637 4665283.31331)
9647,Petra Janouchova,2018-09-11 16:07:23.672 GMT,9647,2018-09-11,Surface Scatter,"only external photos, GPS taken back at the base to eliminate shape file export issues,visible all hills towards south, all the way to Turkey",Legacy verification,"Golyamoto Kale possibly, identified by Toshko, information from the director of Elhovo museum",Scrub,Scrub,Hilltop,High,42.039429,26.887564,4665277.71,470034,3,No Observation (only external pictures available),0,300,0,200,"large site on the top of the hill, facing south slope of the hill",Artefact scatter pottery and A/C scatter - Loose artefacts,"green and golden glazed pottery, Ottoman or medieval, iron slag, A/Cs found scattered all over the area, lot of stones dispersed and piled over large area","Yes pottery, iron slag and unfired wall / daub-like fragment (Voden_02)",medieval,NA,2 - minor damage,,Looting,metal detector looters and animals,2 - good,Looting,Unknown,NA,"stones piled or scattered around the bushes, A/C present, medieval pottery scarce but present; further monitoring recommended, possible looting",NA,POINT(470034.000008 4665277.709871)
9648,Petra Janouchova,2018-09-12 06:10:06.739 GMT,9648,2018-09-12,Burial Mound,"ext no 626,mound shape still present - has been spread out/flattened by agriculture",Legacy verification,lighter soil on top indicating that it once was larger before agricultural land use,Annual agriculture,Annual agriculture,Upper slope,High,42.16671733,26.8096665,4668304.458,484278.2419,3,Northeast (NNE),1.5,40,1,35,NA,Artefact scatter,modern glazed pottery fragments - picture taken,No,NA,files/app/6e942e83-e279-4bf8-a34b-c8dd2e00d0cd_image-1536735339286.original.jpg,4 - seriously damaged,"limestone layer present),likely within last 3mths/late spring",Urban development,NA,3 - impaired,Agriculture,Last year,"NA",NA,NA,POINT(484278.241889 4668304.458278)
9649,Mikaila Walker,2018-09-12 06:11:14.212 GMT,9649,2018-09-12,Other,"listed as geolithic point on map, but none present),ext no 621 (overview)",Legacy verification,geodetic point but no visible geodetic marker,Annual agriculture,Scrub,Hilltop,High,42.16169195,26.8026319,4667747.799,483695.8856,3,Southwest,1,20,0.5,10,NA,NA,NA,No,NA,NA,0 - No observation,,Agriculture,NA,5 - none or nearly none,Agriculture,Unknown,"NA",NA,NA,POINT(483695.88563 4667747.799425)
9650,Mikaila Walker,2018-09-12 07:03:57.425 GMT,9650,2018-09-12,Burial Mound,"ext no 632, 633,mound likely higher before agriculture - current shape is flatter and spread out",Legacy verification,limestone layer present,Annual agriculture,Annual agriculture,Upper slope,High,42.16678417,26.80907558,4668311.989,484229.4473,3,Northeast (NNE),2,25,1,20,NA,Artefact scatter,modern pottery fragment - Ottoman; modern bricks present,No,NA,files/app/e9f9e55a-a938-4513-b2bd-7e7936fec7b7_image-1536736404141.original.jpg,4 - seriously damaged,,Agriculture,NA,3 - impaired,Agriculture,Last year,"NA",NA,NA,POINT(484229.447263 4668311.989063)
9651,Mikaila Walker,2018-09-12 07:19:24.887 GMT,9651,2018-09-12,Burial Mound,"ext no 37, 38",Legacy verification,limestone layer present,Annual agriculture,Annual agriculture,Upper slope,High,42.16663205,26.80840048,4668295.223,484173.6454,3,North,1.5,35,1,30,NA,NA,NA,No,NA,NA,4 - seriously damaged,,Agriculture,NA,3 - impaired,Agriculture,Last year,"NA",mound was likely much larger before agricultural land use - still relatively compact but flatter,NA,POINT(484173.645378 4668295.223294)
9652,Mikaila Walker,2018-09-12 08:03:18.289 GMT,9652,2018-09-12,Burial Mound,"ext no 39, 41",Legacy verification,large robber''s trench,Forest,Forest,Hilltop,Low,42.16911357,26.80642698,4668571.12,484011.257,3,Southwest (SSW),6,35,5,30,NA,NA,NA,No,NA,NA,4 - seriously damaged,,Looting,vegetation/forest; domesticated and wild animals,4 - minimal,Looting,Unknown,"01,rectangle,4,4,1.5,manually excavated large trench",ext no 42-44,files/app/69108436-4855-4741-b855-f7de55ac2bc6_image-1536739808435.original.jpg (likely animal burrow) - files/app/a54f6c1c-da86-494f-af7b-02f6748dddbb_image-1536739772974.original.jpg,POINT(484011.25704 4668571.120407)
8241,Tiana Anderson,2018-09-12 08:11:46.794 GMT,8241,2018-09-12,Burial Mound,"910-912,grassland",Legacy verification,artificial marker on top of mound. has a second mound directly next to it South East,Pasture,Pasture,Hilltop,Super prominent,42.049372,26.95137896,4655259.108,495976.4354,3,Southeast,2.7,22,NA,NA,NA,NA,NA,No,NA,NA,1 - pristine,,Agriculture,NA,1 - full,Agriculture,Unknown,"NA",NA,NA,POINT(495976.435393 4655259.108241)
9653,Mikaila Walker,2018-09-12 08:19:01.463 GMT,9653,2018-09-12,Uncertain Feature,"ext no 45-47,curved rectangle",Serendipity,possible tank enclosure or ditch made by farmers,Forest,Forest,Hilltop,Nil,42.16937197,26.80675487,4668599.749,484038.4048,3,East,1.3,8,1,6,6x8x1,NA,NA,No,NA,NA,0 - No observation,specify in Annotation),Other,shepherd or military input,4 - minimal,Other,Unknown,"NA",NA,NA,POINT(484038.404752 4668599.749245)
8242,Tiana Anderson,2018-09-12 08:19:26.118 GMT,8242,2018-09-12,Burial Mound,"913-917,grassland",Survey,mound with rectilinear trench from top centre down south side of mound. this mound is basically connected to #8241 as the edges of each mound touch. exterior edges circled by small marble stones,Pasture,Pasture,Hilltop,Super prominent,42.04931111,26.95155468,4655252.34,495990.9726,3,South,2.5,20,NA,NA,NA,NA,NA,No,NA,NA,3 - damaged,appears to be within last two years,Looting,animal diggings on top of mound near trench,4 - minimal,Looting,Other,"01,rectilinear,8,1,manually excavated trench",NA,NA,POINT(495990.972641 4655252.339873)
8243,Tiana Anderson,2018-09-12 08:34:27.649 GMT,8243,2018-09-12,Other,"918-920,grassland",Survey,tank emplacement approx 1.5m deep and 8m long. could possibly be the site of an extinct mound but now it is simply a depression from tank emplacement,Pasture,Pasture,Hilltop,Low,42.04902669,26.95150767,4655220.763,495987.0647,3,South,1.5,8,NA,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,"military activity ),specify in Annotation (military activity ),70s-80s",Other,NA,5 - none or nearly none,Other,Other,"NA",NA,NA,POINT(495987.064709 4655220.762594)
9654,Mikaila Walker,2018-09-12 08:38:15.332 GMT,9654,2018-09-12,Uncertain Feature,"ext no 648,rectangular",Survey,tank enclosure - noticed en route from 9653,Forest,Forest,Hilltop,Low,42.16988297,26.80357179,4668657.088,483775.6209,3,South,1.7,12,1.5,6,6x12x1.6,NA,NA,No,NA,NA,0 - No observation,specify in Annotation),Other,military (trench enclosure),4 - minimal,Other,Unknown,"NA",NA,NA,POINT(483775.620901 4668657.087548)
8244,Tiana Anderson,2018-09-12 08:42:13.718 GMT,8244,2018-09-12,Other,"923,grassland",Survey,a dug out approx  20m east from the previous tank emplacement #8243,Pasture,Pasture,Hilltop,Low,42.04890317,26.95184368,4655207.033,496014.8632,3,East,2,4,NA,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,"military activity),specify in Annotation (military activity),cold war",Other,NA,5 - none or nearly none,Other,Other,"01,rectangle,2,4,8,manually excavated",NA,NA,POINT(496014.863243 4655207.032629)
9655,Mikaila Walker,2018-09-12 08:46:58.763 GMT,9655,2018-09-12,Other,ext no 650,Survey,tank enclosure,Forest,Forest,Hilltop,Low,42.17042221,26.80279085,4668717.109,483711.2557,96,Southwest,3,16,2.5,15,16x8x2.5,NA,NA,No,NA,NA,0 - No observation,specify in Annotation),Other,military impact,4 - minimal,Other,Unknown,NA,NA,NA,POINT(483711.255746 4668717.108815)
8245,Tiana Anderson,2018-09-12 08:51:01.760 GMT,8245,2018-09-12,Other,"924,grassland",Survey,"1m high, stoney, military protrusion from landscape",Pasture,Pasture,Lower slope,Low,42.04830276,26.95125885,4655140.397,495966.4281,3,North,1,6,NA,NA,NA,NA,NA,No,NA,NA,3 - damaged,"military),specify in Annotation (military),cold war",Other,NA,4 - minimal,Other,Other,"NA",NA,NA,POINT(495966.428109 4655140.397073)
9656,Mikaila Walker,2018-09-12 08:54:14.380 GMT,9656,2018-09-12,Other,ext no 652,Survey,tank enclosure,Forest,Forest,Hilltop,Low,42.17103041,26.8021769,4668784.756,483660.7021,3,South,2,16,1.7,15,16x8x2.5,NA,NA,No,NA,NA,0 - No observation,specify in Annotation),Other,military impact,4 - minimal,Other,Unknown,"NA",NA,NA,POINT(483660.702105 4668784.755779)
8246,Tiana Anderson,2018-09-12 08:55:35.696 GMT,8246,2018-09-12,Other,"925-926,grassland",Survey,tank emplacement approx 1.5m deep and 8m long. could possibly be the site of an extinct mound d but now it is simply a depression from tank emplacement,Pasture,Pasture,Lower slope,Low,42.04842093,26.95091707,4655153.533,495938.1515,3,South,1.7,6,NA,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,"military activity ),specify in Annotation (military activity ),70s-80s",Other,NA,5 - none or nearly none,Other,Other,"NA",NA,NA,POINT(495938.151503 4655153.533258)
